"job_title","country","currency","average_salary"
"AI Engineer","AE","USD","90000"
"Data Analyst","AE","USD","40000"
"Data Scientist","AE","USD","115000"
"ML Engineer","AE","USD","92500"
"ML Engineer","AM","USD","50000"
"Data Analyst","AR","USD","50000"
"Data Engineer","AR","USD","65000"
"Data Scientist","AR","USD","37500"
"ML Engineer","AR","USD","88500"
NULL,"AR","USD","8000"
"Data Analyst","AS","USD","38500"
"Data Scientist","AT","USD","43500"
"AI Engineer","AU","USD","55000"
"BI Analyst","AU","USD","91000"
"Computer Vision Software Engineer","AU","USD","150000"
"Data Analyst","AU","USD","140562.42857142858"
"Data Engineer","AU","USD","132411.11111111112"
"Data Scientist","AU","USD","119993"
"ML Engineer","AU","USD","222222.22222222222"
"Prompt Engineer","AU","USD","207500"
"Research Engineer","AU","USD","72253"
"AI Engineer","BA","USD","75000"
"Analytics Engineer","BR","USD","63000"
"BI Analyst","BR","USD","63000"
"Computer Vision Engineer","BR","USD","24000"
"Data Analyst","BR","USD","35000"
"Data Engineer","BR","USD","79500"
"Data Scientist","BR","USD","64333.333333333336"
"ML Engineer","BR","USD","57000"
"Autonomous Vehicle Technician","BS","USD","45555"
"ML Engineer","BY","USD","33000"
"AI Engineer","CA","USD","272133.3333333333"
"Analytics Engineer","CA","USD","156604.5"
"Analytics Manager","CA","USD","120000"
"BI Analyst","CA","USD","107645.42857142857"
"BI Developer","CA","USD","108250"
"BI Engineer","CA","USD","135000"
"Data Analyst","CA","USD","107897"
"Data Engineer","CA","USD","144942.05050505052"
"Data Manager","CA","USD","116634.83333333333"
"Data Science Manager","CA","USD","280000"
"Data Scientist","CA","USD","162629.29807692306"
"Engineering Lead","CA","USD","155000"
"Lead Data Engineer","CA","USD","130000"
"ML Engineer","CA","USD","172156.33707865168"
"Research Engineer","CA","USD","147015.91666666666"
"staff research scientsit","CA","USD","200000"
"Data Scientist","Central Europe","USD","10800"
"Research Engineer","CN","USD","100000"
"AI Engineer","CO","USD","125000"
"Data Analyst","CO","USD","72000"
"Data Engineer","CO","USD","87750"
"Data Manager","CO","USD","56500"
"ML Engineer","CO","USD","60614.666666666664"
"Data Scientist","CZ","USD","46000"
"Research Engineer","CZ","USD","69999"
"AI Engineer","DE","USD","77500"
"Data Analyst","DE","USD","347500"
"Data Engineer","DE","USD","188675"
"Data Manager","DE","USD","107150"
"Data Scientist","DE","USD","63000"
"ML Engineer","DE","USD","154277.77777777778"
"Research Engineer","DE","USD","224500"
"Data Scientist","DZ","USD","100000"
"Data Scientist","EC","USD","16000"
"AI Engineer","EG","USD","174100"
"Data Scientist","EG","USD","144375"
"ML Engineer","EG","USD","109366.66666666667"
"AI Engineer","ES","USD","55000"
"Data Engineer","ES","USD","87500"
"Data Science Research Assistant","ES","USD","15000"
"Data Scientist","ES","USD","45000"
"Research Engineer","ES","USD","211475"
"AI Engineer","FR","USD","120000"
"Analytics Engineer","FR","USD","188000"
"Data Engineer","FR","USD","100000"
"Data Manager","FR","USD","152000"
"Data Scientist","FR","USD","153166.66666666666"
"ML Engineer","FR","USD","110800"
"Research Engineer","FR","USD","196500"
"AI Engineer","GB","USD","130000"
"Analytics Engineer","GB","USD","180610"
"Autonomous Vehicle Technician","GB","USD","120000"
"Computer Vision Engineer","GB","USD","227500"
"Data Analyst","GB","USD","124016.04166666667"
"Data Engineer","GB","USD","141757.2"
"Data Manager","GB","USD","178750"
"Data Scientist","GB","USD","156525.28"
"ML Engineer","GB","USD","179068.56"
"Research Engineer","GB","USD","182000"
"AI Engineer","GH","USD","30000"
"BI Developer","GH","USD","15000"
"Data Analyst","GH","USD","36000"
"Data Analyst","GR","USD","20000"
"Data Analyst","HN","USD","20000"
"Analytics Engineer","HU","USD","43000"
"Data Scientist","HU","USD","28000"
"Data Analyst","ID","USD","15000"
"Data Analyst","IE","USD","90000"
"Data Scientist","IE","USD","103625"
"Data Viz Specialist","IE","USD","41000"
"Product Analyst","IE","USD","48000"
"Bioinformatics scientist","IL","USD","62000"
"ML Engineer","IL","USD","115000"
"AI Engineer","IN","USD","108000"
"BI Developer","IN","USD","87500"
"Data Analyst","IN","USD","45000"
"Data Engineer","IN","USD","91200"
"Data Science Specialist","IN","USD","37000"
"Data Scientist","IN","USD","35000"
"ML Engineer","IN","USD","57550"
"Research Engineer","IN","USD","23000"
"ML Engineer","IQ","USD","100000"
"ML Engineer","IR","USD","100000"
"BI Developer","JP","USD","160000"
"Data Engineer","JP","USD","168000"
"ML Engineer","JP","USD","167000"
"Data Analyst","KE","USD","35000"
"Data Scientist","KE","USD","80000"
"AI Engineer","KR","USD","47000"
"Data Analyst","LB","USD","71750"
"Softwate engineer","LB","USD","15000"
"Data Engineer","LU","USD","21000"
"Data Engineer","MD","USD","18000"
"Data Analyst","MT","USD","61450"
"Data Engineer","MU","USD","100000"
"Data Analyst","MX","USD","429950"
"Data Engineer","MX","USD","45439.6"
"Data Manager","MX","USD","104000"
"Data Scientist","MX","USD","30000"
"ML Engineer","MX","USD","158666.66666666666"
"Data Scientist","MY","USD","40000"
"Analytics Engineer","NG","USD","50000"
"Applied Scientist","NG","USD","36000"
"BI Analyst","NG","USD","200000"
"Data Analyst","NG","USD","37000"
"Data Scientist","NG","USD","50000"
"ML Engineer","NG","USD","60000"
"Data Analyst","NL","USD","79000"
"Data Engineer","NL","USD","100000"
"Data Scientist","NL","USD","400000"
"Research Engineer","NL","USD","42000"
"Data Engineer","NZ","USD","143729"
"Data Scientist","NZ","USD","154475.75"
"AI Engineer","OM","USD","46848"
"BI Developer","PH","USD","31800"
"Data Analyst","PH","USD","57500"
"Data Analyst","PK","USD","20000"
"Data Scientist","PK","USD","40000"
"Applied Scientist","PL","USD","182000"
"Data Analyst","PL","USD","95000"
"Data Scientist","PL","USD","23000"
"Data Engineer","PR","USD","167500"
"ML Engineer","PR","USD","167500"
"Data Engineer","PT","USD","27000"
"ML Engineer","PT","USD","100000"
"AI Engineer","QA","USD","300000"
"Data Engineer","RO","USD","43000"
"BI Analyst","Rocky Mountains","USD","100000"
"Data Analyst","RU","USD","37000"
"Data Engineer","RU","USD","157500"
"Data Manager","RU","USD","106000"
"Data Scientist","RU","USD","36000"
"Data Analyst","SA","USD","179998"
"ML Engineer","SA","USD","90000"
"Research Engineer","SA","USD","150000"
"AI Engineer","SE","USD","80000"
"Data Engineer","SE","USD","130000"
"Data Analyst","SG","USD","80000"
"Data Scientist","SG","USD","38160"
"Data Scientist","South America","USD","20000"
"ML Engineer","TH","USD","15000"
"AI Engineer","TR","USD","20000"
"Data Scientist","TR","USD","25000"
"ML Engineer","TR","USD","27000"
"AI Engineer","UA","USD","72666.66666666667"
"Data Engineer","UA","USD","82000"
"ML Engineer","UA","USD","170000"
"Data Lecturer","UK","USD","75000"
"Data Scientist","UK","USD","63300"
"AI Engineer","US","USD","181271.40789473685"
"Algorithm Developer","US","USD","160000"
"Analytics Engineer","US","USD","163965.87297297298"
"Analytics Manager","US","USD","111500"
"Applied Scientist","US","USD","190248.48505747126"
"Associate Finance Manager - Data Science","US","USD","93000"
"Bear Robotics","US","USD","167500"
"BI Analyst","US","USD","128240.94375"
"BI Developer","US","USD","110680.14754098361"
"BI Engineer","US","USD","142874.9537815126"
"BI Manager","US","USD","140700"
"Business Intelligence Engineer III","US","USD","110000"
"Client Insights Consultant","US","USD","152000"
"Computational Biologist","US","USD","205000"
"Computer Vision Engineer","US","USD","205278.26086956522"
"Computer Vision Software Engineer","US","USD","70000"
"Data Analyst","US","USD","112495.54943679599"
"Data Engineer","US","USD","153863.62662639405"
"Data Manager","US","USD","145726.76504297994"
"Data Science Director","US","USD","212000"
"Data Science Manager","US","USD","170000"
"Data Scientist","US","USD","161734.65792062972"
"Decision Scientist","US","USD","165305.4054054054"
"Deep Learning Engineer","US","USD","218855"
"Developer","US","USD","210000"
"Digital Engineering Graduate","US","USD","30000"
"Director","US","USD","182500"
"Director of Data Science","US","USD","201250"
"Director, Data Science","US","USD","230000"
"ETL Developer","US","USD","127614.23076923077"
"ETL Engineer","US","USD","150000"
"Founder","US","USD","10000"
"Head of &lt;program related to data science&gt","US","USD","150000"
"Head Scientist","US","USD","120000"
"HPC Systems Engineer","US","USD","186000"
"Informatics Manager","US","USD","160000"
"Insight Analyst","US","USD","45000"
"Insights Consultant","US","USD","150000"
"Manager, Risk Strategy &amp; Policy (Data Science","US","USD","110000"
"Marketing Coordinator","US","USD","30000"
"Marketing Manager ","US","USD","128000"
"ML Engineer","US","USD","194962.85083160084"
"NLP Engineer","US","USD","177272.72727272726"
"NLP Scientist","US","USD","110000"
"Principal Business Intelligence Engineer","US","USD","200000"
"Product Analyst","US","USD","104772.72727272728"
"Prompt Engineer","US","USD","215080.64285714287"
"Quant Trader","US","USD","135000"
"quantitative modeling / data science","US","USD","115000"
"Quantitative Researcher","US","USD","250000"
"Quantitative UX Researcher ","US","USD","160000"
"Research Associate","US","USD","55000"
"Research Engineer","US","USD","186968.64165733484"
"Research Investigator","US","USD","117000"
"Research Scientist","US","USD","100000"
"Researcher","US","USD","200000"
"Robotics Engineer","US","USD","140416.66666666666"
"Robotics Software Engineer","US","USD","196625"
"Scientist: Statistics","US","USD","135000"
"Service specialist","US","USD","56000"
"Sr. Data Engineer","US","USD","144000"
"Staff Research Scientist","US","USD","265000"
"VP of Data Science","US","USD","225000"
NULL,"US","USD","107880"
"ML Engineer","VN","USD","63000"
"Data Engineer","ZA","USD","100492.5"
